1	The patient now presents with a three to four week history of shortness of breath and a dry non-productive cough .	The patient now gives a three to four week history of shortness of breath and a dry non-gainful wheeze .
1	She was admitted to Weekscook University Medical Center with a diagnosis of possible asthma .	She was admitted to Weekscook University Medical Center with an analysis of conceivable asthma .
0	Patient was found to be H. Pylori positive and therefore was started on empiric treatment .	Patient was found to be H. Pylori negative .
1	She was therefore transferred to the Retelk County Medical Center for further care .	She was along these lines exchanged to the Retelk County Medical Center for additionally mind .
1	The patient was in general good health until seven days ago ( 2/11/00 ) , when he had a sudden onset of sharp left flank pain with radiation to the lower abdomen and then to the epigastrium .	The patient was by and large great wellbeing until seven days prior ( 2/11/00 ) , when he had a sudden beginning of sharp left flank torment with radiation to the lower stomach area and afterward to the epigastrium .
0	Afferent limb of the roux en y anastamosis was visualized however the efferent limb could not be explored .	Afferent limb of the roux en y anastamosis was visualized and the efferent limb was explored .
1	Ri Strength is a 40 year old man with a history of GERD , who presents with abdominal pain of seven days duration .	Ri Strength is a 40 year old man with a background marked by GERD , who presents with stomach torment of seven days term .
0	Patient was seen by GI on 13 EGD was performed HD2 which was negative for gastritis , stricture or ulcer .	Patient was seen by GI on 13 EGD was performed HD2 which was positive for gastritis.
1	The patient was exacerbated when eating and when lying flat .	The patient was exacerbated when eating and when lying level.
1	The patient presented to the Sloan- Center Emergency Department , where he was resuscitated with normal saline and received morphine for pain .	The patient exhibited to the Sloan-Center Emergency Department , where he was revived with typical saline and got morphine for torment .
0	Patient had HIDA scan which was negative for obstruction , and CT was unremarkable .	Patient had HIDA scan which was positive for obstruction .
1	He has had no recent weight loss , no light-headedness or dizziness .	He has had no current weight reduction , no wooziness or tipsiness .
0	Patient was seen by GI on 13 EGD was performed HD2 which was negative for gastritis , stricture or ulcer .	Patient was seen by GI on 13 EGD was performed HD2 which was positive for gastritis.
0	Patient was found to be H. Pylori positive and therefore was started on empiric treatment .	Patient was found to be H. Pylori negative .
1	Since then , the patient has occasional chest pain with emotional stress , when he is angry or upset .	From that point forward , the patient has intermittent chest torment with passionate pressure , when he is irate or vexed .
0	She has not received prior radiation exposure .	She has received prior radiation exposure .
0	There is no family history of thyroid cancer .	There is no family history of diabetes .
1	He also became short of breath with climbing a flight of stairs .	He likewise turned out to be shy of breath with climbing a flight of stairs .
1	He has a history of hypertension , diabetes , and high cholesterol .	He has a background marked by hypertension , diabetes , and elevated cholesterol .
0	She is euthyroid .	She is not euthyroid .
